transcation_id,customer_id,Impression_viewed
1,445322,6/8/2022
2,445322,6/1/2022
3,445322,6/30/2022
4,445322,6/17/2022
5,445322,6/8/2022
6,445322,6/15/2022
7,101422,6/2/2022
8,101422,6/9/2022
9,101422,6/27/2022
10,101422,6/9/2022
11,101422,6/26/2022
12,101422,6/27/2022
13,101422,6/15/2022
14,101422,6/6/2022
15,289726,6/22/2022
16,289726,6/5/2022
17,289726,6/17/2022
18,289726,6/24/2022
19,289726,6/2/2022
20,5098,6/28/2022
21,5098,6/19/2022
22,5098,6/13/2022
23,5098,6/25/2022
24,5098,6/8/2022
25,349861,6/24/2022
26,349861,6/9/2022
27,349861,6/6/2022
28,349861,6/20/2022
29,349861,6/27/2022
30,349861,6/14/2022
31,349861,6/22/2022
32,349861,6/3/2022
33,349861,6/14/2022
34,349861,6/20/2022
35,349861,6/6/2022
36,349861,6/14/2022
37,349861,6/11/2022
38,349861,6/1/2022
39,349861,6/14/2022
40,349861,6/8/2022
41,349861,6/2/2022
42,349861,6/5/2022
43,349861,6/23/2022
44,345395,6/6/2022
45,345395,6/26/2022
46,345395,6/16/2022
47,345395,6/26/2022
48,345395,6/7/2022
49,345395,6/22/2022
50,345395,6/21/2022
51,345395,7/1/2022
52,345395,6/18/2022
53,345395,6/18/2022
54,345395,6/3/2022
55,345395,6/14/2022
56,345395,6/12/2022
57,345395,6/21/2022
58,345395,6/27/2022
59,345395,6/11/2022
60,345395,6/25/2022
61,89718,6/28/2022
62,89718,6/22/2022
63,89718,6/22/2022
64,89718,6/17/2022
65,89718,6/26/2022
66,89718,6/11/2022
67,89718,6/17/2022
68,89718,6/3/2022
69,89718,6/15/2022
70,89718,6/28/2022
71,89718,6/8/2022
72,89718,6/21/2022
73,89718,6/11/2022
74,89718,6/9/2022
75,89718,6/18/2022
76,89718,6/16/2022
77,89718,6/5/2022
78,89718,6/3/2022
79,372193,6/30/2022
80,372193,6/9/2022
81,372193,6/8/2022
82,372193,6/10/2022
83,372193,6/3/2022
84,372193,6/21/2022
85,372193,6/17/2022
86,372193,6/21/2022
87,372193,6/8/2022
88,372193,6/30/2022
89,372193,6/27/2022
90,372193,6/18/2022
91,372193,6/13/2022
92,372193,6/13/2022
93,372193,6/14/2022
94,372193,6/22/2022
95,372193,6/22/2022
96,372193,6/11/2022
97,295205,6/20/2022
98,295205,7/1/2022
99,295205,6/21/2022
100,295205,6/24/2022
101,295205,6/15/2022
102,295205,6/7/2022
103,295205,6/11/2022
104,295205,6/27/2022
105,295205,6/22/2022
106,295205,6/14/2022
107,295205,6/15/2022
108,295205,6/21/2022
109,295205,6/27/2022
110,295205,6/18/2022
111,295205,6/27/2022
112,295205,6/22/2022
113,295205,6/13/2022
114,425114,7/1/2022
115,425114,6/12/2022
116,425114,6/24/2022
117,425114,6/16/2022
118,425114,6/18/2022
119,425114,6/15/2022
120,425114,7/1/2022
121,425114,6/1/2022
122,425114,6/28/2022
123,425114,6/10/2022
124,425114,6/5/2022
125,425114,6/18/2022
126,425114,6/2/2022
127,425114,6/8/2022
128,72072,6/21/2022
129,72072,6/4/2022
130,72072,6/12/2022
131,72072,6/11/2022
132,72072,6/30/2022
133,72072,6/1/2022
134,72072,6/22/2022
135,72072,6/16/2022
136,72072,6/10/2022
137,72072,6/23/2022
138,358915,6/27/2022
139,358915,6/29/2022
140,358915,6/10/2022
141,358915,6/30/2022
142,358915,6/6/2022
143,358915,6/28/2022
144,358915,6/7/2022
145,358915,6/5/2022
146,358915,6/21/2022
147,358915,6/8/2022
148,358915,7/1/2022
149,358915,6/1/2022
150,358915,6/23/2022
151,358915,6/27/2022
152,358915,6/23/2022
153,358915,6/3/2022
154,358915,6/2/2022
155,358915,6/8/2022
156,339435,6/19/2022
157,339435,6/15/2022
158,339435,6/8/2022
159,339435,6/24/2022
160,339435,6/3/2022
161,339435,6/14/2022
162,339435,6/26/2022
163,339435,6/3/2022
164,339435,6/12/2022
165,339435,6/8/2022
166,339435,6/11/2022
167,339435,6/12/2022
168,339435,6/27/2022
169,339435,6/8/2022
170,339435,6/8/2022
171,339435,6/1/2022
172,414759,6/25/2022
173,414759,6/3/2022
174,414759,6/9/2022
175,55624,6/30/2022
176,55624,6/26/2022
177,55624,6/7/2022
178,55624,7/1/2022
179,55624,6/26/2022
180,55624,6/14/2022
181,55624,6/26/2022
182,55624,6/15/2022
183,178534,6/23/2022
184,178534,6/3/2022
185,178534,6/4/2022
186,178534,6/7/2022
187,178534,6/24/2022
188,178534,6/7/2022
189,178534,6/17/2022
190,178534,6/15/2022
191,178534,6/25/2022
192,178534,6/6/2022
193,178534,6/7/2022
194,125706,6/25/2022
195,125706,6/13/2022
196,125706,6/17/2022
197,125706,6/2/2022
198,125706,6/11/2022
199,125706,6/26/2022
200,125706,6/13/2022
201,125706,6/29/2022
202,125706,6/6/2022
203,349661,6/2/2022
204,349661,6/13/2022
205,349661,6/19/2022
206,328507,6/16/2022
207,328507,6/5/2022
208,328507,6/14/2022
209,328507,6/14/2022
210,328507,6/4/2022
211,328507,6/25/2022
212,328507,6/13/2022
213,328507,6/2/2022
214,328507,6/18/2022
215,328507,6/11/2022
216,328507,6/6/2022
217,328507,6/6/2022
218,328507,7/1/2022
219,328507,6/6/2022
220,194031,6/15/2022
221,194031,6/8/2022
222,194031,6/28/2022
223,194031,6/26/2022
224,194031,6/18/2022
225,194031,6/7/2022
226,194031,6/19/2022
227,194031,6/8/2022
228,194031,6/1/2022
229,194031,6/25/2022
230,194031,6/23/2022
231,194031,6/19/2022
232,194031,6/20/2022
233,194031,6/30/2022
